UFC Fight Night: Marquardt vs. Palhares,Ultimate Fighting Championship,"September 15, 2010",Frank Erwin Center,"Austin, Texas","7,724[1]","$595,900[1]",nan
UFC 119: Mir vs. Cro Cop,Ultimate Fighting Championship,"September 25, 2010",Conseco Fieldhouse,"Indianapolis, Indiana","15,811[1]","$1,600,000[2]","295,000[3]"
UFC 120: Bisping vs. Akiyama,Ultimate Fighting Championship,"October 16, 2010",O2 Arena,"London, United Kingdom","17,133[1]","$2,560,000[1]",nan
UFC 121: Lesnar vs. Velasquez,Ultimate Fighting Championship,"October 23, 2010",Honda Center,"Anaheim, California","14,856[1]","$2,237,000[1]","1,050,000[2]"
UFC 122: Marquardt vs. Okami,Ultimate Fighting Championship,"November 13, 2010",König Pilsener Arena,"Oberhausen, Germany","8,421[1]","$600,000[1]",nan
UFC 123: Rampage vs. Machida,Ultimate Fighting Championship,"November 20, 2010",The Palace of Auburn Hills,"Auburn Hills, Michigan","16,404[1]","$2,100,000","500,000[2]"
The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Ultimate Fighting Championship,"December 4, 2010",Palms Casino Resort,"Las Vegas, Nevada","1,903[9]","$380,025[9]",nan
UFC 124: St-Pierre vs. Koscheck 2,Ultimate Fighting Championship,"December 11, 2010",Bell Centre,"Montreal, Quebec, Canada","23,152[1]","$4,600,000[1]","800,000[2]"
UFC 125: Resolution,Ultimate Fighting Championship,"January 1, 2011",MGM Grand Garden Arena,"Las Vegas, Nevada","12,874[1]","$2,174,780[1]","270,000[2]"
UFC: Fight for the Troops 2,Ultimate Fighting Championship,"January 22, 2011",Fort Hood,"Killeen, Texas","3,200[1]",nan,nan
UFC 126: Silva vs. Belfort,Ultimate Fighting Championship,"February 5, 2011",Mandalay Bay Events Center,"Las Vegas, Nevada","10,893 [1]","$3,600,000[1]","725,000[2]"
UFC 127: Penn vs. Fitch,Ultimate Fighting Championship,27 February 2011,Acer Arena,"Sydney, Australia","18,186[1]","$3,500,000[1]","260,000[2]"
UFC Live: Sanchez vs. Kampmann,Ultimate Fighting Championship,"March 3, 2011",KFC Yum! Center,"Louisville, Kentucky","8,319[1]","$471,450[1]",nan
