Date,Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2013-07-06,UFC 162,Silva vs. Weidman,Ultimate Fighting Championship,Silva,Weidman,0,MGM Grand Garden Arena,"Las Vegas, Nevada",12964.0,,550000.0
2013-08-03,UFC 163,Aldo vs. Korean Zombie,Ultimate Fighting Championship,Aldo,Korean Zombie,0,HSBC Arena,"Rio De Janeiro, Brazil",13873.0,,180000.0
2013-08-31,UFC 164,Henderson vs. Pettis II,Ultimate Fighting Championship,Henderson,Pettis,1,BMO Harris Bradley Center,"Milwaukee, Wisconsin",9178.0,907116.0,270000.0
2013-09-21,UFC 165,Jones vs. Gustafsson,Ultimate Fighting Championship,Jones,Gustafsson,0,Air Canada Centre,"Toronto, Ontario, Canada",15504.0,,310000.0
2013-10-19,UFC 166,Velasquez vs. dos Santos III,Ultimate Fighting Championship,Velasquez,dos Santos,1,Toyota Center,"Houston, Texas",17238.0,,330000.0
2013-11-16,UFC 167,St-Pierre vs. Hendricks,Ultimate Fighting Championship,St-Pierre,Hendricks,0,MGM Grand Garden Arena,"Las Vegas, Nevada",14856.0,5759350.0,630000.0
2013-12-28,UFC 168,Weidman vs. Silva 2,Ultimate Fighting Championship,Weidman,Silva,1,MGM Grand Garden Arena,"Las Vegas, Nevada",15650.0,6238792.0,1025000.0
2014-02-01,UFC 169,Barão vs. Faber II,Ultimate Fighting Championship,Barão,Faber,1,Prudential Center,"Newark, New Jersey",14308.0,,230000.0
2014-02-22,UFC 170,Rousey vs. McMann,Ultimate Fighting Championship,Rousey,McMann,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10217.0,1558870.0,340000.0
2014-03-15,UFC 171,Hendricks vs. Lawler,Ultimate Fighting Championship,Hendricks,Lawler,0,American Airlines Center,"Dallas, Texas",19324.0,2600000.0,300000.0
