Date,Event,Promotion,Venue,City,Attendance,Gate,Buyrate
2011-09-17,UFC Fight Night: Shields vs. Ellenberger,Ultimate Fighting Championship,Morial Convention Center,"New Orleans, Louisiana",7112.0,685000.0,
2011-09-24,UFC 135: Jones vs. Rampage,Ultimate Fighting Championship,Pepsi Center,"Denver, Colorado",16344.0,2089575.0,520000.0
2011-10-01,UFC Live: Cruz vs. Johnson,Ultimate Fighting Championship,Verizon Center,"Washington, D.C.",9380.0,706775.0,
2011-10-08,UFC 136: Edgar vs. Maynard III,Ultimate Fighting Championship,Toyota Center,"Houston, Texas",16164.0,2230000.0,225000.0
2011-10-29,UFC 137: Penn vs. Diaz,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10313.0,3900650.0,280000.0
2011-11-05,UFC 138: Leben vs. Muñoz,Ultimate Fighting Championship,LG Arena,"Birmingham, United Kingdom",10823.0,1500000.0,
2011-11-12,UFC on Fox: Velasquez vs. dos Santos,Ultimate Fighting Championship,Honda Center,"Anaheim, California",11607.0,1072187.0,
2011-11-19,UFC 139: Shogun vs. Henderson,Ultimate Fighting Championship,HP Pavilion,"San Jose, California",13832.0,1268000.0,290000.0
2011-12-03,The Ultimate Fighter: Team Bisping vs. Team Miller Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",1909.0,452700.0,
2011-12-10,UFC 140: Jones vs. Machida,Ultimate Fighting Championship,Air Canada Centre,"Toronto, Ontario, Canada",18303.0,3900000.0,480000.0
